canonical_smiles,molecule_chembl_id,IC50_nM,pIC50,MWT,LogP,HBD,HBA,RO5_Compliant
COc1cc(/C=C2\CCC/C(=C\c3ccc(OC)c(O)c3)C2=O)cc(OC)c1,CHEMBL2316155,5335.0,5.272865576239512,380.4400000000001,4.638000000000004,1,5,True
COc1cc(/C=C2\CCC/C(=C\c3ccc(S(C)(=O)=O)cc3)C2=O)cc(OC)c1,CHEMBL2316158,1930.0,5.714442690992226,412.5070000000002,4.327300000000003,0,5,True
COc1cc(/C=C2\CCC/C(=C\c3cccc(Br)c3)C2=O)cc(OC)c1,CHEMBL2316145,6825.0,5.165897344287206,413.3110000000001,5.686300000000005,0,3,True
COc1cc(/C=C2\CCC/C(=C\c3cccc(Cl)c3)C2=O)cc(OC)c1,CHEMBL2316141,2235.0,5.650722472532045,368.8600000000001,5.577200000000005,0,3,True
COc1cc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc(OC)c1,CHEMBL2316140,1640.0,5.785156151952302,334.4150000000001,4.923800000000005,0,3,True
COc1cc(/C=C2\CCC/C(=C\c3ccccc3Br)C2=O)cc(OC)c1,CHEMBL2316144,8040.0,5.094743951251549,413.3110000000001,5.686300000000005,0,3,True
COc1cc(/C=C2\CCC/C(=C\c3ccccc3Cl)C2=O)cc(OC)c1,CHEMBL2316142,1520.0,5.818156412055227,368.8600000000001,5.577200000000005,0,3,True
COc1cc(/C=C2\CCC/C(=C\c3ccccc3F)C2=O)cc(OC)c1,CHEMBL2316143,2135.0,5.670602120638957,352.4050000000001,5.062900000000004,0,3,True
COc1cc(/C=C2\CCC/C(=C\c3ccccc3OC)C2=O)cc(OC)c1,CHEMBL2316152,20845.0,4.680998100537684,364.44100000000014,4.932400000000005,0,4,True
COc1cc(/C=C2\CCCCC2=O)cc(OC)c1,CHEMBL3982407,18670.0,4.728855682050922,246.30599999999995,3.2303000000000024,0,3,True
COc1cc(/C=C2\CCc3c(O)cccc3\C2=N\O)c(Br)c(OC)c1OC,CHEMBL5286853,4600.0,5.337242168318426,434.2860000000002,4.388600000000003,2,6,True
COc1cc(/C=C2\CCc3ccc([N+](=O)[O-])cc3\C2=N\O)c(Br)c(OC)c1OC,CHEMBL5281118,1900.0,5.721246399047171,463.28400000000016,4.591200000000004,1,7,True
COc1cc(/C=C2\CN(C)C/C(=C\c3cc(OC)c(OC)c(OC)c3Br)C2=NO)c(Br)c(OC)c1OC,CHEMBL5279636,70.0,7.154901959985743,642.3410000000001,5.505800000000005,1,9,False
COc1cc(/C=C2\SC(=N)NC2=O)ccc1OCCCOc1cc(C)cc(C)c1,CHEMBL602890,56000.0,4.251811972993799,412.5110000000003,4.298610000000004,2,6,True
COc1cc(/C=N/NC(=O)COC2=NC(C)=NC3C2C(C)=NN3c2ccccc2)cc(OC)c1OC,CHEMBL5281486,4180.0,5.3788237182249645,492.53600000000023,2.8480000000000008,1,10,True
COc1cc(/C=N/NC(=O)COc2nc(C)nc3c2c(C)nn3-c2ccccc2)cc(OC)c1OC,CHEMBL4786003,4180.0,5.3788237182249645,490.52000000000027,2.9872400000000017,1,10,True
COc1cc(/C=N\Nc2nc(-c3nc4ccccc4n3C)cs2)cc(OC)c1OC,CHEMBL4758204,622.64,6.2057629825592855,423.49800000000016,4.168600000000003,1,9,True
COc1cc(Br)c(/C=C2\CC(C)C/C(=C\c3nc(C)c(C)nc3C)C2=O)cc1OC,CHEMBL4081727,1900.0,5.721246399047171,471.39500000000027,5.647560000000006,0,5,True
COc1cc(Br)c(/C=C2\CC(C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,CHEMBL4085902,2900.0,5.5376020021010435,486.41000000000025,5.9086600000000065,1,6,True
COc1cc(Br)c(/C=C2\CN(C(C)C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,CHEMBL4093642,4900.0,5.309803919971486,515.4520000000003,5.202760000000005,1,7,False
COc1cc(Br)c(/C=C2\CN(C)C/C(=C\c3nc(C)c(C)nc3C)C2=O)cc1OC,CHEMBL4063890,60.0,7.221848749616356,472.38300000000027,4.163060000000003,0,6,True
COc1cc(Br)c(/C=C2\CN(C)CC(=C\c3nc(C)c(C)nc3C)/C2=N\O)cc1OC,CHEMBL4064361,20.0,7.698970004336019,487.39800000000025,4.424160000000003,1,7,True
COc1cc(Br)c(Br)c(/C=N/c2ccc3[nH]c(=O)[nH]c3c2)c1O,CHEMBL3335244,88670.0,4.052223291535261,441.0790000000001,3.8460000000000014,3,4,True
COc1cc(Br)cc(-c2nn(C(C)C)c3ncnc(N)c23)c1,CHEMBL1242200,11000.0,4.958607314841775,362.2310000000001,3.427500000000001,1,6,True
