canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value
COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,CHEMBL105436,=,=,nM,300.0,uM,0.3
COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,CHEMBL105436,=,=,nM,10000.0,uM,10.0
CN(C)CCN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL162053,=,=,nM,8.1,nM,8.1
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,CHEMBL165574,=,=,nM,1.0,nM,1.0
Clc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,CHEMBL426229,,,nM,,uM,
CNc1cc2c(Nc3ccccc3)ncnc2cn1,CHEMBL53940,=,=,nM,9.0,nM,9.0
CNc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cn1,CHEMBL165788,=,=,nM,1.1,nM,1.1
OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL166093,=,=,nM,0.18,nM,0.18
CN(C)CCCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL349070,=,=,nM,1.8,nM,1.8
COc1cccc(-c2cn(-c3ccc(CC(=O)NCCO)cc3)c3ncnc(N)c23)c1,CHEMBL175409,=,=,nM,800.0,uM,0.8
COc1cccc(-c2cn(-c3ccc(CC(=O)NCCO)cc3)c3ncnc(N)c23)c1,CHEMBL175409,,,nM,,uM,
CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,CHEMBL22978,=,=,nM,797.0,uM,0.797
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,CHEMBL162142,=,=,nM,0.78,nM,0.78
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,CHEMBL165508,=,=,nM,1.5,nM,1.5
CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL165547,=,=,nM,0.56,nM,0.56
OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL165864,=,=,nM,0.19,nM,0.19
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1,CHEMBL13983,=,=,nM,,uM,
Cc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,CHEMBL161895,=,=,nM,1.3,nM,1.3
CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL433520,=,=,nM,4.6,nM,4.6
CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL433520,=,=,nM,4.6,uM,0.0046
COc1cccc(-c2cn(-c3cccc(CO)c3)c3ncnc(N)c23)c1,CHEMBL176815,=,=,nM,800.0,uM,0.8
COc1cccc(-c2cn(-c3ccc(CNCCO)cc3)c3ncnc(N)c23)c1,CHEMBL424375,=,=,nM,300.0,uM,0.3
COc1cccc(-c2cn(-c3ccc(CNCCO)cc3)c3ncnc(N)c23)c1,CHEMBL424375,=,=,nM,6400.0,uM,6.4
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN(C)C,CHEMBL13976,>,>,nM,20000.0,uM,20.0
CNc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,CHEMBL366831,=,=,nM,31000.0,uM,31.0
Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(CO)c1,CHEMBL173478,=,=,nM,600.0,uM,0.6
Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(CO)c1,CHEMBL173478,=,=,nM,12000.0,uM,12.0
O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL355816,=,=,nM,0.28,nM,0.28
CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,CHEMBL166154,=,=,nM,0.19,nM,0.19
Cc1cccc(Nc2ncnc3cnc(N(C)C)cc23)c1,CHEMBL163188,=,=,nM,2.8,nM,2.8
O=C(O)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL163168,=,=,nM,27.0,nM,27.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,CHEMBL275117,>,>,nM,20000.0,uM,20.0
Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,CHEMBL169757,=,=,nM,500.0,uM,0.5
Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,CHEMBL169757,=,=,nM,3000.0,uM,3.0
Cc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,CHEMBL162508,=,=,nM,1.8,nM,1.8
CN(C)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL166358,=,=,nM,1.2,nM,1.2
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,CHEMBL162981,=,=,nM,1.7,nM,1.7
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL51853,=,=,nM,0.13,nM,0.13
O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,CHEMBL115220,>,>,nM,10000.0,nM,10000.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL535,>,>,nM,20000.0,uM,20.0
CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL162034,=,=,nM,1.1,nM,1.1
CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL162034,=,=,nM,1.1,uM,0.0011
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,CHEMBL162622,=,=,nM,0.65,nM,0.65
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,CHEMBL162622,=,=,nM,0.7,uM,0.0007
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc(C)cc2)c1O,CHEMBL333454,=,=,nM,8700.0,uM,8.7
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc(C)cc2)c1O,CHEMBL333454,=,=,nM,1750.0,uM,1.75
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccc(Cl)cc2)c1O,CHEMBL119923,=,=,nM,14800.0,uM,14.8
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccc(Cl)cc2)c1O,CHEMBL119923,=,=,nM,16000.0,uM,16.0
O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,CHEMBL76958,=,=,nM,1000.0,uM,1.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc(O)cc2)c1O,CHEMBL419047,=,=,nM,2500.0,uM,2.5
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc(O)cc2)c1O,CHEMBL419047,=,=,nM,2500.0,uM,2.5
N#C/C(=C\c1cc(O)c(O)c(CSc2nc3ccccc3s2)c1)C(N)=O,CHEMBL333553,=,=,nM,6500.0,uM,6.5
N#C/C(=C\c1cc(O)c(O)c(CSc2nc3ccccc3s2)c1)C(N)=O,CHEMBL333553,=,=,nM,3200.0,uM,3.2
COc1cc(C=C(C#N)C#N)cc(C)c1O,CHEMBL120564,=,=,nM,2600000.0,uM,2600.0
COc1cc(C=C(C#N)C#N)cc(C)c1O,CHEMBL120564,=,=,nM,87000.0,uM,87.0
NCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,CHEMBL309075,=,=,nM,5400.0,uM,5.4
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCCC(=O)O)c1O,CHEMBL424625,=,=,nM,125000.0,uM,125.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCCC(=O)O)c1O,CHEMBL424625,>,>,nM,50000.0,uM,50.0
CCCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(C=O)cc2)cc1,CHEMBL74038,>,>,nM,100000.0,uM,100.0
COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(CSCc2ccccc2)c1O,CHEMBL116547,=,=,nM,750.0,uM,0.75
COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(CSCc2ccccc2)c1O,CHEMBL116547,=,=,nM,4500.0,uM,4.5
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3o2)c1O,CHEMBL118205,=,=,nM,12500.0,uM,12.5
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3o2)c1O,CHEMBL118205,=,=,nM,5300.0,uM,5.3
COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O,CHEMBL324030,=,=,nM,16300.0,uM,16.3
COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O,CHEMBL324030,=,=,nM,8800.0,uM,8.8
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O,CHEMBL119156,=,=,nM,25000.0,uM,25.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O,CHEMBL119156,=,=,nM,3400.0,uM,3.4
N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,CHEMBL432428,=,=,nM,940.0,uM,0.94
N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,CHEMBL432428,=,=,nM,640.0,uM,0.64
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccccc2)c1O,CHEMBL326318,=,=,nM,1950.0,uM,1.95
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccccc2)c1O,CHEMBL326318,=,=,nM,900.0,uM,0.9
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL477,=,=,nM,195000.0,uM,195.0
O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1O,CHEMBL449093,=,=,nM,54.0,uM,0.054
CNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C(\C)[N+](=O)[O-])cc2OC)cc1,CHEMBL78280,=,=,nM,4000.0,uM,4.0
COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O,CHEMBL122522,=,=,nM,370000.0,uM,370.0
COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O,CHEMBL122522,=,=,nM,6700.0,uM,6.7
O=[N+]([O-])/C=C/c1ccc(O)c(O)c1,CHEMBL78224,=,=,nM,8800.0,uM,8.8
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2C(=O)O)c1O,CHEMBL119987,=,=,nM,37000.0,uM,37.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2C(=O)O)c1O,CHEMBL119987,=,=,nM,710.0,uM,0.71
CCOc1ccc2nc(SCc3cc(/C=C(\C#N)C(N)=O)cc(OC)c3O)sc2c1,CHEMBL117055,>,>,nM,100000.0,uM,100.0
CCOc1ccc2nc(SCc3cc(/C=C(\C#N)C(N)=O)cc(OC)c3O)sc2c1,CHEMBL117055,>,>,nM,167000.0,uM,167.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,=,=,nM,49.0,uM,0.049
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCCCC(=O)O)c1O,CHEMBL326044,=,=,nM,60000.0,uM,60.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCCCC(=O)O)c1O,CHEMBL326044,=,=,nM,48000.0,uM,48.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2)c1O,CHEMBL116595,=,=,nM,2900.0,uM,2.9
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2)c1O,CHEMBL116595,=,=,nM,400.0,uM,0.4
COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2C(=O)O)c1O,CHEMBL118321,=,=,nM,36000.0,uM,36.0
COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2C(=O)O)c1O,CHEMBL118321,=,=,nM,8000.0,uM,8.0
COc1cc(/C=C/[N+](=O)[O-])ccc1O,CHEMBL309016,=,=,nM,7900.0,uM,7.9
COc1cc(/C=C(\C)[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)O)cc1,CHEMBL77397,=,=,nM,2500.0,uM,2.5
CC(C)(C)OC(=O)NCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,CHEMBL418906,=,=,nM,1400.0,uM,1.4
C/C(=C\c1ccc(O)c(O)c1)[N+](=O)[O-],CHEMBL78049,=,=,nM,9400.0,uM,9.4
C[C@@H](NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)N[C@H](C)C(=O)NCCN,CHEMBL309392,=,=,nM,17000.0,uM,17.0
COc1cc(C=C(C#N)C#N)cc(CS(=O)(=O)c2ccc(C)cc2)c1O,CHEMBL334032,=,=,nM,85000.0,uM,85.0
COc1cc(C=C(C#N)C#N)cc(CS(=O)(=O)c2ccc(C)cc2)c1O,CHEMBL334032,=,=,nM,23000.0,uM,23.0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(=O)c2ccc(S(=O)(=O)Oc3ccc(/C=C/[N+](=O)[O-])cc3)cc2)[C@@H](O)[C@H]1O,CHEMBL505705,=,=,nM,600.0,uM,0.6
CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,CHEMBL103055,>,>,nM,100000.0,uM,100.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3cc(Cl)ccc3s2)c1O,CHEMBL115519,=,=,nM,4400.0,uM,4.4
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3cc(Cl)ccc3s2)c1O,CHEMBL115519,>,>,nM,83000.0,uM,83.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc3ccccc3c2)c1O,CHEMBL330879,=,=,nM,6600.0,uM,6.6
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccc3ccccc3c2)c1O,CHEMBL330879,=,=,nM,1700.0,uM,1.7
COC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1O,CHEMBL76929,=,=,nM,1800.0,uM,1.8
C[C@@H](NC(=O)[C@@H](C)NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)O,CHEMBL311133,=,=,nM,7000.0,uM,7.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O,CHEMBL118109,=,=,nM,18600.0,uM,18.6
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O,CHEMBL118109,=,=,nM,19000.0,uM,19.0
COc1cc(/C=C/[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)O)cc1,CHEMBL418907,=,=,nM,2800.0,uM,2.8
COC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,CHEMBL77401,=,=,nM,1500.0,uM,1.5
CCCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,CHEMBL77100,=,=,nM,4800.0,uM,4.8
O=[N+]([O-])/C=C/c1ccc(O)cc1,CHEMBL307481,=,=,nM,10100.0,uM,10.1
CC(C)(C)NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,CHEMBL78206,=,=,nM,1300.0,uM,1.3
COc1cc(/C=C/[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,CHEMBL453502,=,=,nM,500.0,uM,0.5
C[C@@H](NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)N[C@H](C)C(=O)NCCNC(=O)OC(C)(C)C,CHEMBL309073,>,>,nM,50000.0,uM,50.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2NC(C)=O)c1O,CHEMBL115895,=,=,nM,5600.0,uM,5.6
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2NC(C)=O)c1O,CHEMBL115895,=,=,nM,22000.0,uM,22.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3[nH]2)c1O,CHEMBL331026,=,=,nM,75000.0,uM,75.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3[nH]2)c1O,CHEMBL331026,=,=,nM,14500.0,uM,14.5
Cc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL116423,=,=,nM,5600.0,uM,5.6
Cc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL116423,=,=,nM,62000.0,uM,62.0
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccccc2Cl)c1O,CHEMBL326100,=,=,nM,2500.0,uM,2.5
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCc2ccccc2Cl)c1O,CHEMBL326100,=,=,nM,1000.0,uM,1.0
COc1cc(C=C(C#N)C#N)cc(CSCC(=O)O)c1O,CHEMBL120719,=,=,nM,96000.0,uM,96.0
COc1cc(C=C(C#N)C#N)cc(CSCC(=O)O)c1O,CHEMBL120719,=,=,nM,54000.0,uM,54.0
CNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,CHEMBL74432,=,=,nM,400.0,uM,0.4
O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)c(O)c1,CHEMBL77688,=,=,nM,310.0,uM,0.31
C[C@@H](NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)N[C@H](C)C(=O)OC(C)(C)C,CHEMBL312451,=,=,nM,40000.0,uM,40.0
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1,CHEMBL286343,=,=,nM,3.0,nM,3.0
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1,CHEMBL286343,=,=,nM,21.0,nM,21.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31965,=,=,nM,1.5,nM,1.5
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31965,=,=,nM,7.4,nM,7.4
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL285063,=,=,nM,0.7,nM,0.7
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL285063,=,=,nM,2.7,nM,2.7
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL27685,=,=,nM,1.8,nM,1.8
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL27685,=,=,nM,4.7,nM,4.7
C=CC(=O)N(C)c1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31630,=,=,nM,20.0,nM,20.0
C=CC(=O)N(C)c1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31630,=,=,nM,88.0,nM,88.0
C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL27688,=,=,nM,1.5,nM,1.5
C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL27688,=,=,nM,27.0,nM,27.0
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,CHEMBL31373,=,=,nM,0.75,nM,0.75
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,CHEMBL31373,=,=,nM,3.1,nM,3.1
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,CHEMBL31816,=,=,nM,0.95,nM,0.95
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,CHEMBL31816,=,=,nM,291.0,nM,291.0
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,CHEMBL417478,=,=,nM,0.16,nM,0.16
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,CHEMBL417478,=,=,nM,119.0,nM,119.0
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL32844,=,=,nM,1.7,nM,1.7
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL32844,=,=,nM,3.0,nM,3.0
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCN(C)C,CHEMBL31588,=,=,nM,3.9,nM,3.9
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCN(C)C,CHEMBL31588,=,=,nM,7.9,nM,7.9
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31656,=,=,nM,1.5,nM,1.5
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31656,=,=,nM,434.0,nM,434.0
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31419,=,=,nM,3.6,nM,3.6
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31419,=,=,nM,5.3,nM,5.3
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1SCCCN(CC)CC,CHEMBL31326,=,=,nM,0.78,nM,0.78
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1SCCCN(CC)CC,CHEMBL31326,=,=,nM,196.0,nM,196.0
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL31815,=,=,nM,0.42,nM,0.42
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL31815,=,=,nM,4.7,nM,4.7
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,CHEMBL280757,=,=,nM,0.69,nM,0.69
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,CHEMBL280757,=,=,nM,2.7,nM,2.7
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1,CHEMBL28418,=,=,nM,0.75,nM,0.75
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1,CHEMBL28418,=,=,nM,18.0,nM,18.0
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1CCCCN1CCOCC1,CHEMBL281543,=,=,nM,2.7,nM,2.7
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1CCCCN1CCOCC1,CHEMBL281543,=,=,nM,5100.0,nM,5100.0
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL284326,=,=,nM,6.6,nM,6.6
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL284326,=,=,nM,264.0,nM,264.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCCCO,CHEMBL32079,=,=,nM,1.7,nM,1.7
C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL31622,=,=,nM,2.0,nM,2.0
C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL31622,=,=,nM,18.0,nM,18.0
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOC,CHEMBL31570,=,=,nM,0.97,nM,0.97
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOC,CHEMBL31570,=,=,nM,377.0,nM,377.0
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(CN(C)C)c(Br)c3)c2c1,CHEMBL283201,=,=,nM,45.0,nM,45.0
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(CN(C)C)c(Br)c3)c2c1,CHEMBL283201,=,=,nM,416.0,nM,416.0
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCCN(C)C)c(Br)c3)c2c1,CHEMBL31369,=,=,nM,27.0,nM,27.0
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCCN(C)C)c(Br)c3)c2c1,CHEMBL31369,=,=,nM,7693.0,nM,7693.0
CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,CHEMBL57366,=,=,nM,450.0,uM,0.45
Cc1cc(C)c(C)c(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1C,CHEMBL56236,=,=,nM,6680.0,uM,6.68
COc1cc(OC)cc(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1,CHEMBL299763,=,=,nM,50000.0,uM,50.0
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(Cl)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(Cl)ccc21,CHEMBL293889,=,=,nM,4300.0,uM,4.3
Cn1c(SSc2c(C#N)c3ccccc3n2C)c(C#N)c2ccccc21,CHEMBL160566,=,=,nM,6900.0,uM,6.9
O=[N+]([O-])c1cccc2c(NCc3ccccc3)ncnc12,CHEMBL117696,>,>,nM,10000.0,nM,10000.0
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,CHEMBL420624,=,=,nM,0.1,nM,0.1
CC(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)C)c1O,CHEMBL85021,=,=,nM,15300.0,uM,15.3
Cc1cccc2c1/C(=C/c1ccc[nH]1)C(=O)N2,CHEMBL85403,>,>,nM,100000.0,uM,100.0
O=[N+]([O-])c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL329161,=,=,nM,897.0,nM,897.0
Nc1cccc2c(Nc3cccc(Br)c3)ncnc12,CHEMBL333082,=,=,nM,105.0,nM,105.0
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1,CHEMBL53690,=,=,nM,0.91,nM,0.91
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1,CHEMBL53690,=,=,nM,4.5,nM,4.5
Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL21162,>,>,nM,100000.0,uM,100.0
Cc1c(SSc2c(C)c3ccccc3n2C)n(C)c2ccccc12,CHEMBL158879,>,>,nM,100000.0,uM,100.0
